# VELOCITY: INITIAL_POFV:
0.09428090415820635 0
0.28284271247461906 0
0.47140452079103173 0
0.65996632910744446 0
0.84852813742385713 0
1.0370899457402698 0
1.2256517540566825 0
1.4142135623730951 0
1.602775370689508 0
1.7913371790059207 0
1.9798989873223334 0
2.1684607956387461 0
2.3570226039551589 5.3033008588991057
2.5455844122715714 0
2.7341462205879843 0
2.9227080289043967 0
3.1112698372208096 0
3.2998316455372221 0
3.488393453853635 0
3.6769552621700474 0
3.8655170704864603 0
4.0540788788028728 0
4.2426406871192857 0
4.4312024954356986 0
4.6197643037521114 0
4.8083261120685235 0
4.9968879203849363 0
5.1854497287013492 0
5.3740115370177621 0
5.562573345334175 0
